code_system,code,code_description,code_lay_term,code_range_1,code_range_1_description,code_range_2,code_range_2_description,code_range_3,code_range_3_description,code_range_4,code_range_4_description,code_range_5,code_range_5_description,code_range_6,code_range_6_description
HCPCS,E0986,"Manual wheelchair accessory, power assist system",,E0100-E8002,Durable Medical Equipment,E0950-E1036,Wheelchair Accessories,,,,,,,,
HCPCS,E0988,"Manual wheelchair accessory, lever-activated, wheel drive, pair",,E0100-E8002,Durable Medical Equipment,E0950-E1036,Wheelchair Accessories,,,,,,,,
HCPCS,E0990,"Wheelchair accessory, elevating leg rest, complete assembly, each",,E0100-E8002,Durable Medical Equipment,E0950-E1036,Wheelchair Accessories,,,,,,,,
HCPCS,E0992,"Manual wheelchair accessory, solid seat insert",,E0100-E8002,Durable Medical Equipment,E0950-E1036,Wheelchair Accessories,,,,,,,,
HCPCS,E0994,"Arm rest, each",,E0100-E8002,Durable Medical Equipment,E0950-E1036,Wheelchair Accessories,,,,,,,,
HCPCS,E0995,"Wheelchair accessory, calf rest/pad, replacement only, each",,E0100-E8002,Durable Medical Equipment,E0950-E1036,Wheelchair Accessories,,,,,,,,
HCPCS,E1002,"Wheelchair accessory, power seating system, tilt only",,E0100-E8002,Durable Medical Equipment,E0950-E1036,Wheelchair Accessories,,,,,,,,
HCPCS,E1003,"Wheelchair accessory, power seating system, recline only, without shear reduction",,E0100-E8002,Durable Medical Equipment,E0950-E1036,Wheelchair Accessories,,,,,,,,
HCPCS,E1004,"Wheelchair accessory, power seating system, recline only, with mechanical shear reduction",,E0100-E8002,Durable Medical Equipment,E0950-E1036,Wheelchair Accessories,,,,,,,,
HCPCS,E1005,"Wheelchair accessory, power seating system, recline only, with power shear reduction",,E0100-E8002,Durable Medical Equipment,E0950-E1036,Wheelchair Accessories,,,,,,,,
HCPCS,E1006,"Wheelchair accessory, power seating system, combination tilt and recline, without shear reduction",,E0100-E8002,Durable Medical Equipment,E0950-E1036,Wheelchair Accessories,,,,,,,,
HCPCS,E1007,"Wheelchair accessory, power seating system, combination tilt and recline, with mechanical shear reduction",,E0100-E8002,Durable Medical Equipment,E0950-E1036,Wheelchair Accessories,,,,,,,,
HCPCS,E1008,"Wheelchair accessory, power seating system, combination tilt and recline, with power shear reduction",,E0100-E8002,Durable Medical Equipment,E0950-E1036,Wheelchair Accessories,,,,,,,,
HCPCS,E1009,"Wheelchair accessory, addition to power seating system, mechanically linked leg elevation system, including pushrod and leg rest, each",,E0100-E8002,Durable Medical Equipment,E0950-E1036,Wheelchair Accessories,,,,,,,,
HCPCS,E1010,"Wheelchair accessory, addition to power seating system, power leg elevation system, including leg rest, pair",,E0100-E8002,Durable Medical Equipment,E0950-E1036,Wheelchair Accessories,,,,,,,,
HCPCS,E1011,"Modification to pediatric size wheelchair, width adjustment package (not to be dispensed with initial chair)",,E0100-E8002,Durable Medical Equipment,E0950-E1036,Wheelchair Accessories,,,,,,,,
HCPCS,E1012,"Wheelchair accessory, addition to power seating system, center mount power elevating leg rest/platform, complete system, any type, each",,E0100-E8002,Durable Medical Equipment,E0950-E1036,Wheelchair Accessories,,,,,,,,
HCPCS,E1014,"Reclining back, addition to pediatric size wheelchair",,E0100-E8002,Durable Medical Equipment,E0950-E1036,Wheelchair Accessories,,,,,,,,
HCPCS,E1015,"Shock absorber for manual wheelchair, each",,E0100-E8002,Durable Medical Equipment,E0950-E1036,Wheelchair Accessories,,,,,,,,
HCPCS,E1016,"Shock absorber for power wheelchair, each",,E0100-E8002,Durable Medical Equipment,E0950-E1036,Wheelchair Accessories,,,,,,,,
HCPCS,E1017,"Heavy duty shock absorber for heavy duty or extra heavy duty manual wheelchair, each",,E0100-E8002,Durable Medical Equipment,E0950-E1036,Wheelchair Accessories,,,,,,,,
HCPCS,E1018,"Heavy duty shock absorber for heavy duty or extra heavy duty power wheelchair, each",,E0100-E8002,Durable Medical Equipment,E0950-E1036,Wheelchair Accessories,,,,,,,,
HCPCS,E1020,"Residual limb support system for wheelchair, any type",,E0100-E8002,Durable Medical Equipment,E0950-E1036,Wheelchair Accessories,,,,,,,,
HCPCS,E1022,"Wheelchair transportation securement system, any type includes all components and accessories",,E0100-E8002,Durable Medical Equipment,E0950-E1036,Wheelchair Accessories,,,,,,,,
HCPCS,E1023,"Wheelchair transit securement system, includes all components and accessories",,E0100-E8002,Durable Medical Equipment,E0950-E1036,Wheelchair Accessories,,,,,,,,
HCPCS,E1028,"Wheelchair accessory, manual swingaway, retractable or removable mounting hardware, other",,E0100-E8002,Durable Medical Equipment,E0950-E1036,Wheelchair Accessories,,,,,,,,
HCPCS,E1029,"Wheelchair accessory, ventilator tray, fixed",,E0100-E8002,Durable Medical Equipment,E0950-E1036,Wheelchair Accessories,,,,,,,,
HCPCS,E1030,"Wheelchair accessory, ventilator tray, gimbaled",,E0100-E8002,Durable Medical Equipment,E0950-E1036,Wheelchair Accessories,,,,,,,,
HCPCS,E1031,"Rollabout chair, any and all types with castors 5 inch or greater",,E0100-E8002,Durable Medical Equipment,E0950-E1036,Wheelchair Accessories,,,,,,,,
HCPCS,E1032,"Wheelchair accessory, manual swingaway, retractable or removable mounting hardware used with joystick or other drive control interface",,E0100-E8002,Durable Medical Equipment,E0950-E1036,Wheelchair Accessories,,,,,,,,
HCPCS,E1033,"Wheelchair accessory, manual swingaway, retractable or removable mounting hardware for headrest, cushioned, any type",,E0100-E8002,Durable Medical Equipment,E0950-E1036,Wheelchair Accessories,,,,,,,,
HCPCS,E1034,"Wheelchair accessory, manual swingaway, retractable or removable mounting hardware for lateral trunk or hip support, any type",,E0100-E8002,Durable Medical Equipment,E0950-E1036,Wheelchair Accessories,,,,,,,,
HCPCS,E1035,"Multi-positional patient transfer system, with integrated seat, operated by care giver, patient weight capacity up to and including 300 lbs",,E0100-E8002,Durable Medical Equipment,E0950-E1036,Wheelchair Accessories,,,,,,,,
HCPCS,E1036,"Multi-positional patient transfer system, extra-wide, with integrated seat, operated by caregiver, patient weight capacity greater than 300 lbs",,E0100-E8002,Durable Medical Equipment,E0950-E1036,Wheelchair Accessories,,,,,,,,
HCPCS,E1037,"Transport chair, pediatric size",,E0100-E8002,Durable Medical Equipment,E1037-E1039,Transport Chairs,,,,,,,,
HCPCS,E1038,"Transport chair, adult size, patient weight capacity up to and including 300 pounds",,E0100-E8002,Durable Medical Equipment,E1037-E1039,Transport Chairs,,,,,,,,
HCPCS,E1039,"Transport chair, adult size, heavy duty, patient weight capacity greater than 300 pounds",,E0100-E8002,Durable Medical Equipment,E1037-E1039,Transport Chairs,,,,,,,,
HCPCS,E1050,"Fully-reclining wheelchair, fixed full length arms, swing away detachable elevating legrests",,E0100-E8002,Durable Medical Equipment,E1050-E1070,Fully Reclining Wheelchairs,,,,,,,,
HCPCS,E1060,"Fully-reclining wheelchair, detachable arms, desk or full length, swing away detachable elevating legrests",,E0100-E8002,Durable Medical Equipment,E1050-E1070,Fully Reclining Wheelchairs,,,,,,,,
HCPCS,E1070,"Fully-reclining wheelchair, detachable arms (desk or full length) swing away detachable footrest",,E0100-E8002,Durable Medical Equipment,E1050-E1070,Fully Reclining Wheelchairs,,,,,,,,
HCPCS,E1083,"Hemi-wheelchair, fixed full length arms, swing away detachable elevating legrest",,E0100-E8002,Durable Medical Equipment,E1083-E1086,Hemi-Wheelchairs,,,,,,,,
HCPCS,E1084,"Hemi-wheelchair, detachable arms desk or full length arms, swing away detachable elevating legrests",,E0100-E8002,Durable Medical Equipment,E1083-E1086,Hemi-Wheelchairs,,,,,,,,
HCPCS,E1085,"Hemi-wheelchair, fixed full length arms, swing away detachable footrests",,E0100-E8002,Durable Medical Equipment,E1083-E1086,Hemi-Wheelchairs,,,,,,,,
HCPCS,E1086,"Hemi-wheelchair detachable arms desk or full length, swing away detachable footrests",,E0100-E8002,Durable Medical Equipment,E1083-E1086,Hemi-Wheelchairs,,,,,,,,
HCPCS,E1087,"High strength lightweight wheelchair, fixed full length arms, swing away detachable elevating legrests",,E0100-E8002,Durable Medical Equipment,E1087-E1090,"Lightweight, High-strength Wheelchairs",,,,,,,,
HCPCS,E1088,"High strength lightweight wheelchair, detachable arms desk or full length, swing away detachable elevating legrests",,E0100-E8002,Durable Medical Equipment,E1087-E1090,"Lightweight, High-strength Wheelchairs",,,,,,,,
HCPCS,E1089,"High strength lightweight wheelchair, fixed length arms, swing away detachable footrest",,E0100-E8002,Durable Medical Equipment,E1087-E1090,"Lightweight, High-strength Wheelchairs",,,,,,,,
HCPCS,E1090,"High strength lightweight wheelchair, detachable arms desk or full length, swing away detachable footrests",,E0100-E8002,Durable Medical Equipment,E1087-E1090,"Lightweight, High-strength Wheelchairs",,,,,,,,
HCPCS,E1092,"Wide heavy duty wheel chair, detachable arms (desk or full length), swing away detachable elevating legrests",,E0100-E8002,Durable Medical Equipment,E1092-E1093,"Heavy Duty, Wide Wheelchairs",,,,,,,,
HCPCS,E1093,"Wide heavy duty wheelchair, detachable arms desk or full length arms, swing away detachable footrests",,E0100-E8002,Durable Medical Equipment,E1092-E1093,"Heavy Duty, Wide Wheelchairs",,,,,,,,
HCPCS,E1100,"Semi-reclining wheelchair, fixed full length arms, swing away detachable elevating legrests",,E0100-E8002,Durable Medical Equipment,E1100-E1110,Semi-reclining Wheelchairs,,,,,,,,
HCPCS,E1110,"Semi-reclining wheelchair, detachable arms (desk or full length) elevating legrest",,E0100-E8002,Durable Medical Equipment,E1100-E1110,Semi-reclining Wheelchairs,,,,,,,,
HCPCS,E1130,"Standard wheelchair, fixed full length arms, fixed or swing away detachable footrests",,E0100-E8002,Durable Medical Equipment,E1130-E1161,Standard Wheelchairs,,,,,,,,
HCPCS,E1140,"Wheelchair, detachable arms, desk or full length, swing away detachable footrests",,E0100-E8002,Durable Medical Equipment,E1130-E1161,Standard Wheelchairs,,,,,,,,
HCPCS,E1150,"Wheelchair, detachable arms, desk or full length swing away detachable elevating legrests",,E0100-E8002,Durable Medical Equipment,E1130-E1161,Standard Wheelchairs,,,,,,,,
HCPCS,E1160,"Wheelchair, fixed full length arms, swing away detachable elevating legrests",,E0100-E8002,Durable Medical Equipment,E1130-E1161,Standard Wheelchairs,,,,,,,,
HCPCS,E1161,"Manual adult size wheelchair, includes tilt in space",,E0100-E8002,Durable Medical Equipment,E1130-E1161,Standard Wheelchairs,,,,,,,,
HCPCS,E1170,"Amputee wheelchair, fixed full length arms, swing away detachable elevating legrests",,E0100-E8002,Durable Medical Equipment,E1170-E1200,Amputee Wheelchairs,,,,,,,,
HCPCS,E1171,"Amputee wheelchair, fixed full length arms, without footrests or legrest",,E0100-E8002,Durable Medical Equipment,E1170-E1200,Amputee Wheelchairs,,,,,,,,
HCPCS,E1172,"Amputee wheelchair, detachable arms (desk or full length) without footrests or legrest",,E0100-E8002,Durable Medical Equipment,E1170-E1200,Amputee Wheelchairs,,,,,,,,
HCPCS,E1180,"Amputee wheelchair, detachable arms (desk or full length) swing away detachable footrests",,E0100-E8002,Durable Medical Equipment,E1170-E1200,Amputee Wheelchairs,,,,,,,,
HCPCS,E1190,"Amputee wheelchair, detachable arms (desk or full length) swing away detachable elevating legrests",,E0100-E8002,Durable Medical Equipment,E1170-E1200,Amputee Wheelchairs,,,,,,,,
HCPCS,E1195,"Heavy duty wheelchair, fixed full length arms, swing away detachable elevating legrests",,E0100-E8002,Durable Medical Equipment,E1170-E1200,Amputee Wheelchairs,,,,,,,,
HCPCS,E1200,"Amputee wheelchair, fixed full length arms, swing away detachable footrest",,E0100-E8002,Durable Medical Equipment,E1170-E1200,Amputee Wheelchairs,,,,,,,,
HCPCS,E1220,"Wheelchair; specially sized or constructed, (indicate brand name, model number, if any) and justification",,E0100-E8002,Durable Medical Equipment,E1220-E1228,Other Wheelchairs and Accessories,,,,,,,,
HCPCS,E1221,"Wheelchair with fixed arm, footrests",,E0100-E8002,Durable Medical Equipment,E1220-E1228,Other Wheelchairs and Accessories,,,,,,,,
HCPCS,E1222,"Wheelchair with fixed arm, elevating legrests",,E0100-E8002,Durable Medical Equipment,E1220-E1228,Other Wheelchairs and Accessories,,,,,,,,
HCPCS,E1223,"Wheelchair with detachable arms, footrests",,E0100-E8002,Durable Medical Equipment,E1220-E1228,Other Wheelchairs and Accessories,,,,,,,,
HCPCS,E1224,"Wheelchair with detachable arms, elevating legrests",,E0100-E8002,Durable Medical Equipment,E1220-E1228,Other Wheelchairs and Accessories,,,,,,,,
HCPCS,E1225,"Wheelchair accessory, manual semi-reclining back, (recline greater than 15 degrees, but less than 80 degrees), each",,E0100-E8002,Durable Medical Equipment,E1220-E1228,Other Wheelchairs and Accessories,,,,,,,,
HCPCS,E1226,"Wheelchair accessory, manual fully reclining back, (recline greater than 80 degrees), each",,E0100-E8002,Durable Medical Equipment,E1220-E1228,Other Wheelchairs and Accessories,,,,,,,,
HCPCS,E1227,Special height arms for wheelchair,,E0100-E8002,Durable Medical Equipment,E1220-E1228,Other Wheelchairs and Accessories,,,,,,,,
HCPCS,E1228,Special back height for wheelchair,,E0100-E8002,Durable Medical Equipment,E1220-E1228,Other Wheelchairs and Accessories,,,,,,,,
HCPCS,E1229,"Wheelchair, pediatric size, not otherwise specified",,E0100-E8002,Durable Medical Equipment,E1229-E1239,Pediatric Wheelchairs,,,,,,,,
HCPCS,E1230,Power operated vehicle (three or four wheel nonhighway) specify brand name and model number,,E0100-E8002,Durable Medical Equipment,E1229-E1239,Pediatric Wheelchairs,,,,,,,,
HCPCS,E1231,"Wheelchair, pediatric size, tilt-in-space, rigid, adjustable, with seating system",,E0100-E8002,Durable Medical Equipment,E1229-E1239,Pediatric Wheelchairs,,,,,,,,
HCPCS,E1232,"Wheelchair, pediatric size, tilt-in-space, folding, adjustable, with seating system",,E0100-E8002,Durable Medical Equipment,E1229-E1239,Pediatric Wheelchairs,,,,,,,,
HCPCS,E1233,"Wheelchair, pediatric size, tilt-in-space, rigid, adjustable, without seating system",,E0100-E8002,Durable Medical Equipment,E1229-E1239,Pediatric Wheelchairs,,,,,,,,
HCPCS,E1234,"Wheelchair, pediatric size, tilt-in-space, folding, adjustable, without seating system",,E0100-E8002,Durable Medical Equipment,E1229-E1239,Pediatric Wheelchairs,,,,,,,,
HCPCS,E1235,"Wheelchair, pediatric size, rigid, adjustable, with seating system",,E0100-E8002,Durable Medical Equipment,E1229-E1239,Pediatric Wheelchairs,,,,,,,,
HCPCS,E1236,"Wheelchair, pediatric size, folding, adjustable, with seating system",,E0100-E8002,Durable Medical Equipment,E1229-E1239,Pediatric Wheelchairs,,,,,,,,
HCPCS,E1237,"Wheelchair, pediatric size, rigid, adjustable, without seating system",,E0100-E8002,Durable Medical Equipment,E1229-E1239,Pediatric Wheelchairs,,,,,,,,
HCPCS,E1238,"Wheelchair, pediatric size, folding, adjustable, without seating system",,E0100-E8002,Durable Medical Equipment,E1229-E1239,Pediatric Wheelchairs,,,,,,,,
HCPCS,E1239,"Power wheelchair, pediatric size, not otherwise specified",,E0100-E8002,Durable Medical Equipment,E1229-E1239,Pediatric Wheelchairs,,,,,,,,
HCPCS,E1240,"Lightweight wheelchair, detachable arms, (desk or full length) swing away detachable, elevating legrest",,E0100-E8002,Durable Medical Equipment,E1240-E1270,Lightweight Wheelchairs,,,,,,,,
HCPCS,E1250,"Lightweight wheelchair, fixed full length arms, swing away detachable footrest",,E0100-E8002,Durable Medical Equipment,E1240-E1270,Lightweight Wheelchairs,,,,,,,,
HCPCS,E1260,"Lightweight wheelchair, detachable arms (desk or full length) swing away detachable footrest",,E0100-E8002,Durable Medical Equipment,E1240-E1270,Lightweight Wheelchairs,,,,,,,,
HCPCS,E1270,"Lightweight wheelchair, fixed full length arms, swing away detachable elevating legrests",,E0100-E8002,Durable Medical Equipment,E1240-E1270,Lightweight Wheelchairs,,,,,,,,
HCPCS,E1280,"Heavy duty wheelchair, detachable arms (desk or full length) elevating legrests",,E0100-E8002,Durable Medical Equipment,E1280-E1298,Heavy Duty and Special Wheelchairs,,,,,,,,
HCPCS,E1285,"Heavy duty wheelchair, fixed full length arms, swing away detachable footrest",,E0100-E8002,Durable Medical Equipment,E1280-E1298,Heavy Duty and Special Wheelchairs,,,,,,,,
HCPCS,E1290,"Heavy duty wheelchair, detachable arms (desk or full length) swing away detachable footrest",,E0100-E8002,Durable Medical Equipment,E1280-E1298,Heavy Duty and Special Wheelchairs,,,,,,,,
HCPCS,E1295,"Heavy duty wheelchair, fixed full length arms, elevating legrest",,E0100-E8002,Durable Medical Equipment,E1280-E1298,Heavy Duty and Special Wheelchairs,,,,,,,,
HCPCS,E1296,Special wheelchair seat height from floor,,E0100-E8002,Durable Medical Equipment,E1280-E1298,Heavy Duty and Special Wheelchairs,,,,,,,,
HCPCS,E1297,"Special wheelchair seat depth, by upholstery",,E0100-E8002,Durable Medical Equipment,E1280-E1298,Heavy Duty and Special Wheelchairs,,,,,,,,
HCPCS,E1298,"Special wheelchair seat depth and/or width, by construction",,E0100-E8002,Durable Medical Equipment,E1280-E1298,Heavy Duty and Special Wheelchairs,,,,,,,,
HCPCS,E1300,"Whirlpool, portable (overtub type)",,E0100-E8002,Durable Medical Equipment,E1300-E1310,Whirlpool Baths,,,,,,,,
HCPCS,E1301,"Whirlpool tub, walk-in, portable",,E0100-E8002,Durable Medical Equipment,E1300-E1310,Whirlpool Baths,,,,,,,,
HCPCS,E1310,"Whirlpool, non-portable (built-in type)",,E0100-E8002,Durable Medical Equipment,E1300-E1310,Whirlpool Baths,,,,,,,,
HCPCS,E1352,"Oxygen accessory, flow regulator capable of positive inspiratory pressure",,E0100-E8002,Durable Medical Equipment,E1352-E1406,Accessories for Oxygen Delivery Devices,,,,,,,,
HCPCS,E1353,Regulator,,E0100-E8002,Durable Medical Equipment,E1352-E1406,Accessories for Oxygen Delivery Devices,,,,,,,,
HCPCS,E1354,"Oxygen accessory, wheeled cart for portable cylinder or portable concentrator, any type, replacement only, each",,E0100-E8002,Durable Medical Equipment,E1352-E1406,Accessories for Oxygen Delivery Devices,,,,,,,,
HCPCS,E1355,Stand/rack,,E0100-E8002,Durable Medical Equipment,E1352-E1406,Accessories for Oxygen Delivery Devices,,,,,,,,
HCPCS,E1356,"Oxygen accessory, battery pack/cartridge for portable concentrator, any type, replacement only, each",,E0100-E8002,Durable Medical Equipment,E1352-E1406,Accessories for Oxygen Delivery Devices,,,,,,,,
HCPCS,E1357,"Oxygen accessory, battery charger for portable concentrator, any type, replacement only, each",,E0100-E8002,Durable Medical Equipment,E1352-E1406,Accessories for Oxygen Delivery Devices,,,,,,,,
HCPCS,E1358,"Oxygen accessory, DC power adapter for portable concentrator, any type, replacement only, each",,E0100-E8002,Durable Medical Equipment,E1352-E1406,Accessories for Oxygen Delivery Devices,,,,,,,,
HCPCS,E1372,Immersion external heater for nebulizer,,E0100-E8002,Durable Medical Equipment,E1352-E1406,Accessories for Oxygen Delivery Devices,,,,,,,,
HCPCS,E1390,"Oxygen concentrator, single delivery port, capable of delivering 85 percent or greater oxygen concentration at the prescribed flow rate",,E0100-E8002,Durable Medical Equipment,E1352-E1406,Accessories for Oxygen Delivery Devices,,,,,,,,
HCPCS,E1391,"Oxygen concentrator, dual delivery port, capable of delivering 85 percent or greater oxygen concentration at the prescribed flow rate, each",,E0100-E8002,Durable Medical Equipment,E1352-E1406,Accessories for Oxygen Delivery Devices,,,,,,,,
HCPCS,E1392,"Portable oxygen concentrator, rental",,E0100-E8002,Durable Medical Equipment,E1352-E1406,Accessories for Oxygen Delivery Devices,,,,,,,,
HCPCS,E1399,"Durable medical equipment, miscellaneous",,E0100-E8002,Durable Medical Equipment,E1352-E1406,Accessories for Oxygen Delivery Devices,,,,,,,,
HCPCS,E1405,Oxygen and water vapor enriching system with heated delivery,,E0100-E8002,Durable Medical Equipment,E1352-E1406,Accessories for Oxygen Delivery Devices,,,,,,,,
HCPCS,E1406,Oxygen and water vapor enriching system without heated delivery,,E0100-E8002,Durable Medical Equipment,E1352-E1406,Accessories for Oxygen Delivery Devices,,,,,,,,
HCPCS,E1500,"Centrifuge, for dialysis",,E0100-E8002,Durable Medical Equipment,E1500-E1699,Dialysis Systems and Accessories,,,,,,,,
HCPCS,E1510,"Kidney, dialysate delivery system, kidney machine, pump recirculating, air removal system, flowrate meter, power off, heater and temperature control with alarm, IV poles, pressure gauge, concentrate container",,E0100-E8002,Durable Medical Equipment,E1500-E1699,Dialysis Systems and Accessories,,,,,,,,
HCPCS,E1520,Heparin infusion pump for hemodialysis,,E0100-E8002,Durable Medical Equipment,E1500-E1699,Dialysis Systems and Accessories,,,,,,,,
HCPCS,E1530,"Air bubble detector for hemodialysis, each, replacement",,E0100-E8002,Durable Medical Equipment,E1500-E1699,Dialysis Systems and Accessories,,,,,,,,
HCPCS,E1540,"Pressure alarm for hemodialysis, each, replacement",,E0100-E8002,Durable Medical Equipment,E1500-E1699,Dialysis Systems and Accessories,,,,,,,,
HCPCS,E1550,"Bath conductivity meter for hemodialysis, each",,E0100-E8002,Durable Medical Equipment,E1500-E1699,Dialysis Systems and Accessories,,,,,,,,
HCPCS,E1560,"Blood leak detector for hemodialysis, each, replacement",,E0100-E8002,Durable Medical Equipment,E1500-E1699,Dialysis Systems and Accessories,,,,,,,,
HCPCS,E1570,"Adjustable chair, for ESRD patients",,E0100-E8002,Durable Medical Equipment,E1500-E1699,Dialysis Systems and Accessories,,,,,,,,
HCPCS,E1575,"Transducer protectors/fluid barriers, for hemodialysis, any size, per 10",,E0100-E8002,Durable Medical Equipment,E1500-E1699,Dialysis Systems and Accessories,,,,,,,,
HCPCS,E1580,Unipuncture control system for hemodialysis,,E0100-E8002,Durable Medical Equipment,E1500-E1699,Dialysis Systems and Accessories,,,,,,,,
HCPCS,E1590,Hemodialysis machine,,E0100-E8002,Durable Medical Equipment,E1500-E1699,Dialysis Systems and Accessories,,,,,,,,
HCPCS,E1592,Automatic intermittent peritoneal dialysis system,,E0100-E8002,Durable Medical Equipment,E1500-E1699,Dialysis Systems and Accessories,,,,,,,,
HCPCS,E1594,Cycler dialysis machine for peritoneal dialysis,,E0100-E8002,Durable Medical Equipment,E1500-E1699,Dialysis Systems and Accessories,,,,,,,,
HCPCS,E1600,Delivery and/or installation charges for hemodialysis equipment,,E0100-E8002,Durable Medical Equipment,E1500-E1699,Dialysis Systems and Accessories,,,,,,,,
HCPCS,E1610,"Reverse osmosis water purification system, for hemodialysis",,E0100-E8002,Durable Medical Equipment,E1500-E1699,Dialysis Systems and Accessories,,,,,,,,
HCPCS,E1615,"Deionizer water purification system, for hemodialysis",,E0100-E8002,Durable Medical Equipment,E1500-E1699,Dialysis Systems and Accessories,,,,,,,,
HCPCS,E1620,"Blood pump for hemodialysis, replacement",,E0100-E8002,Durable Medical Equipment,E1500-E1699,Dialysis Systems and Accessories,,,,,,,,
HCPCS,E1625,"Water softening system, for hemodialysis",,E0100-E8002,Durable Medical Equipment,E1500-E1699,Dialysis Systems and Accessories,,,,,,,,
HCPCS,E1629,Tablo hemodialysis system for the billable dialysis service,,E0100-E8002,Durable Medical Equipment,E1500-E1699,Dialysis Systems and Accessories,,,,,,,,
HCPCS,E1630,Reciprocating peritoneal dialysis system,,E0100-E8002,Durable Medical Equipment,E1500-E1699,Dialysis Systems and Accessories,,,,,,,,
HCPCS,E1632,"Wearable artificial kidney, each",,E0100-E8002,Durable Medical Equipment,E1500-E1699,Dialysis Systems and Accessories,,,,,,,,
HCPCS,E1634,"Peritoneal dialysis clamps, each",,E0100-E8002,Durable Medical Equipment,E1500-E1699,Dialysis Systems and Accessories,,,,,,,,
HCPCS,E1635,Compact (portable) travel hemodialyzer system,,E0100-E8002,Durable Medical Equipment,E1500-E1699,Dialysis Systems and Accessories,,,,,,,,
HCPCS,E1636,"Sorbent cartridges, for hemodialysis, per 10",,E0100-E8002,Durable Medical Equipment,E1500-E1699,Dialysis Systems and Accessories,,,,,,,,
HCPCS,E1637,"Hemostats, each",,E0100-E8002,Durable Medical Equipment,E1500-E1699,Dialysis Systems and Accessories,,,,,,,,
HCPCS,E1639,"Scale, each",,E0100-E8002,Durable Medical Equipment,E1500-E1699,Dialysis Systems and Accessories,,,,,,,,
HCPCS,E1699,"Dialysis equipment, not otherwise specified",,E0100-E8002,Durable Medical Equipment,E1500-E1699,Dialysis Systems and Accessories,,,,,,,,
HCPCS,E1700,Jaw motion rehabilitation system,,E0100-E8002,Durable Medical Equipment,E1700-E1702,Jaw Motion Rehabilitation Systems,,,,,,,,
HCPCS,E1701,"Replacement cushions for jaw motion rehabilitation system, pkg. of 6",,E0100-E8002,Durable Medical Equipment,E1700-E1702,Jaw Motion Rehabilitation Systems,,,,,,,,
HCPCS,E1702,"Replacement measuring scales for jaw motion rehabilitation system, pkg. of 200",,E0100-E8002,Durable Medical Equipment,E1700-E1702,Jaw Motion Rehabilitation Systems,,,,,,,,
HCPCS,E1800,"Dynamic adjustable elbow extension and flexion device, includes soft interface material",,E0100-E8002,Durable Medical Equipment,E1800-E1841,Extension/Flexion Rehabilitation Devices,,,,,,,,
HCPCS,E1801,"Static progressive stretch/patient actualized serial stretch elbow device, extension and/or flexion, with or without range of motion adjustment, includes all components and accessories",,E0100-E8002,Durable Medical Equipment,E1800-E1841,Extension/Flexion Rehabilitation Devices,,,,,,,,
HCPCS,E1802,"Dynamic adjustable forearm pronation/supination device, includes soft interface material",,E0100-E8002,Durable Medical Equipment,E1800-E1841,Extension/Flexion Rehabilitation Devices,,,,,,,,
HCPCS,E1803,"Dynamic adjustable elbow extension only device, includes soft interface material",,E0100-E8002,Durable Medical Equipment,E1800-E1841,Extension/Flexion Rehabilitation Devices,,,,,,,,
HCPCS,E1804,"Dynamic adjustable elbow flexion only device, includes soft interface material",,E0100-E8002,Durable Medical Equipment,E1800-E1841,Extension/Flexion Rehabilitation Devices,,,,,,,,
HCPCS,E1805,"Dynamic adjustable wrist extension and flexion device, includes soft interface material",,E0100-E8002,Durable Medical Equipment,E1800-E1841,Extension/Flexion Rehabilitation Devices,,,,,,,,
HCPCS,E1806,"Static progressive stretch wrist device, flexion and/or extension, with or without range of motion adjustment, includes all components and accessories",,E0100-E8002,Durable Medical Equipment,E1800-E1841,Extension/Flexion Rehabilitation Devices,,,,,,,,
HCPCS,E1807,"Dynamic adjustable wrist extension only device, includes soft interface material",,E0100-E8002,Durable Medical Equipment,E1800-E1841,Extension/Flexion Rehabilitation Devices,,,,,,,,
HCPCS,E1808,"Dynamic adjustable wrist flexion only device, includes soft interface material",,E0100-E8002,Durable Medical Equipment,E1800-E1841,Extension/Flexion Rehabilitation Devices,,,,,,,,
HCPCS,E1810,"Dynamic adjustable knee extension and flexion device, includes soft interface material",,E0100-E8002,Durable Medical Equipment,E1800-E1841,Extension/Flexion Rehabilitation Devices,,,,,,,,
HCPCS,E1811,"Static progressive stretch/patient actualized serial stretch knee device, extension and/or flexion, with or without range of motion adjustment, includes all components and accessories",,E0100-E8002,Durable Medical Equipment,E1800-E1841,Extension/Flexion Rehabilitation Devices,,,,,,,,
HCPCS,E1812,"Dynamic knee, extension/flexion device with active resistance control",,E0100-E8002,Durable Medical Equipment,E1800-E1841,Extension/Flexion Rehabilitation Devices,,,,,,,,
HCPCS,E1813,"Dynamic adjustable knee extension only device, includes soft interface material",,E0100-E8002,Durable Medical Equipment,E1800-E1841,Extension/Flexion Rehabilitation Devices,,,,,,,,
HCPCS,E1814,"Dynamic adjustable knee flexion only device, includes soft interface material",,E0100-E8002,Durable Medical Equipment,E1800-E1841,Extension/Flexion Rehabilitation Devices,,,,,,,,
HCPCS,E1815,"Dynamic adjustable ankle extension and flexion device, includes soft interface material",,E0100-E8002,Durable Medical Equipment,E1800-E1841,Extension/Flexion Rehabilitation Devices,,,,,,,,
