code_system,code,code_description,code_lay_term,code_range_1,code_range_1_description,code_range_2,code_range_2_description,code_range_3,code_range_3_description,code_range_4,code_range_4_description,code_range_5,code_range_5_description,code_range_6,code_range_6_description
HCPCS,A2001,"Innovamatrix ac, per square centimeter (add-on, list separately in addition to primary procedure)",,A2001-A2045,"Matrix for Wound Management (Placental, Equine, Synthetic)",,,,,,,,,,
HCPCS,A2002,"Mirragen advanced wound matrix, per square centimeter (add-on, list separately in addition to primary procedure)",,A2001-A2045,"Matrix for Wound Management (Placental, Equine, Synthetic)",,,,,,,,,,
HCPCS,A2004,"Xcellistem, 1 mg",,A2001-A2045,"Matrix for Wound Management (Placental, Equine, Synthetic)",,,,,,,,,,
HCPCS,A2005,"Microlyte matrix, per square centimeter (add-on, list separately in addition to primary procedure)",,A2001-A2045,"Matrix for Wound Management (Placental, Equine, Synthetic)",,,,,,,,,,
HCPCS,A2006,"Novosorb synpath dermal matrix, per square centimeter (add-on, list separately in addition to primary procedure)",,A2001-A2045,"Matrix for Wound Management (Placental, Equine, Synthetic)",,,,,,,,,,
HCPCS,A2007,"Restrata, per square centimeter (add-on, list separately in addition to primary procedure)",,A2001-A2045,"Matrix for Wound Management (Placental, Equine, Synthetic)",,,,,,,,,,
HCPCS,A2008,"Theragenesis, per square centimeter (add-on, list separately in addition to primary procedure)",,A2001-A2045,"Matrix for Wound Management (Placental, Equine, Synthetic)",,,,,,,,,,
HCPCS,A2009,"Symphony, per square centimeter (add-on, list separately in addition to primary procedure)",,A2001-A2045,"Matrix for Wound Management (Placental, Equine, Synthetic)",,,,,,,,,,
HCPCS,A2010,"Apis, per square centimeter (add-on, list separately in addition to primary procedure)",,A2001-A2045,"Matrix for Wound Management (Placental, Equine, Synthetic)",,,,,,,,,,
HCPCS,A2011,"Supra sdrm, per square centimeter (add-on, list separately in addition to primary procedure)",,A2001-A2045,"Matrix for Wound Management (Placental, Equine, Synthetic)",,,,,,,,,,
HCPCS,A2012,"Suprathel, per square centimeter (add-on, list separately in addition to primary procedure)",,A2001-A2045,"Matrix for Wound Management (Placental, Equine, Synthetic)",,,,,,,,,,
HCPCS,A2013,"Innovamatrix fs, per square centimeter (add-on, list separately in addition to primary procedure)",,A2001-A2045,"Matrix for Wound Management (Placental, Equine, Synthetic)",,,,,,,,,,
HCPCS,A2014,"Omeza collagen matrix or omeza complete matrix, per 100 mg",,A2001-A2045,"Matrix for Wound Management (Placental, Equine, Synthetic)",,,,,,,,,,
HCPCS,A2015,"Phoenix wound matrix, per square centimeter (add-on, list separately in addition to primary procedure)",,A2001-A2045,"Matrix for Wound Management (Placental, Equine, Synthetic)",,,,,,,,,,
HCPCS,A2016,"Permeaderm b, per square centimeter (add-on, list separately in addition to primary procedure)",,A2001-A2045,"Matrix for Wound Management (Placental, Equine, Synthetic)",,,,,,,,,,
HCPCS,A2017,"Permeaderm glove, each",,A2001-A2045,"Matrix for Wound Management (Placental, Equine, Synthetic)",,,,,,,,,,
HCPCS,A2018,"Permeaderm c, per square centimeter (add-on, list separately in addition to primary procedure)",,A2001-A2045,"Matrix for Wound Management (Placental, Equine, Synthetic)",,,,,,,,,,
HCPCS,A2019,"Kerecis omega3 marigen shield, per square centimeter (add-on, list separately in addition to primary procedure)",,A2001-A2045,"Matrix for Wound Management (Placental, Equine, Synthetic)",,,,,,,,,,
HCPCS,A2020,Ac5 advanced wound system (ac5),,A2001-A2045,"Matrix for Wound Management (Placental, Equine, Synthetic)",,,,,,,,,,
HCPCS,A2021,"Neomatrix, per square centimeter (add-on, list separately in addition to primary procedure)",,A2001-A2045,"Matrix for Wound Management (Placental, Equine, Synthetic)",,,,,,,,,,
HCPCS,A2022,"Innovaburn or innovamatrix xl, per square centimeter (add-on, list separately in addition to primary procedure)",,A2001-A2045,"Matrix for Wound Management (Placental, Equine, Synthetic)",,,,,,,,,,
HCPCS,A2023,"Innovamatrix pd, 1 mg",,A2001-A2045,"Matrix for Wound Management (Placental, Equine, Synthetic)",,,,,,,,,,
HCPCS,A2024,"Resolve matrix or xenopatch, per square centimeter (add-on, list separately in addition to primary procedure)",,A2001-A2045,"Matrix for Wound Management (Placental, Equine, Synthetic)",,,,,,,,,,
